time,latitude,longitude,altitude,speed,yaw,pitch,roll,yaw_rate,pitch_rate,roll_rate
17.4,32.0888468802,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.5,32.0886678393,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.6,32.0884887984,126.0000000000,300.005,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.7,32.0883097575,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.8,32.0881307165,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.9,32.0879516756,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.0,32.0877726347,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.1,32.0875935938,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.2,32.0874145529,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.3,32.0872355119,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.4,32.0870564710,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.5,32.0868774301,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.6,32.0866983892,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.7,32.0865193483,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.8,32.0863403073,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.9,32.0861612664,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.0,32.0859822255,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.1,32.0858031846,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.2,32.0856241437,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.3,32.0854451028,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.4,32.0852660618,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19.5,32.0850870209,126.0000000000,300.006,200.000,180.000000,0.000000,0.000000,0.000000,0.000000,0.000000
